"Region Pricing","Region Pricing"
"Manage Regions","Manage Regions"
"General","General"
"Enable Region Pricing","Enable Region Pricing"
"Default Guest Region","Default Guest Region"
"Enable Logging","Enable Logging"
"Region","Region"
"Region Information","Region Information"
"Name","Name"
"Code","Code"
"Currency Code","Currency Code"
"Status","Status"
"Regional Prices","Regional Prices"
"Price","Price"
"Base Currency","Base Currency"
"Save Region","Save Region"
"Save","Save"
"Delete Region","Delete Region"
"Delete","Delete"
"Back","Back"
"Edit Region","Edit Region"
"New Region","New Region"
"You saved the region.","You saved the region."
"You deleted the region.","You deleted the region."
"Unable to save region.","Unable to save region."
"Unable to delete region.","Unable to delete region."
"Region does not exist.","Region does not exist."
"This region no longer exists.","This region no longer exists."
"We cannot find a region to delete.","We cannot find a region to delete."
"Something went wrong while saving the region.","Something went wrong while saving the region."
"Something went wrong while deleting the region.","Something went wrong while deleting the region."
"Please complete all required fields.","Please complete all required fields."
"Currency code must be a 3 character ISO code.","Currency code must be a 3 character ISO code."
"Add Region Price","Add Region Price"
"Apply","Apply"
"Regional Price","Regional Price"
"Row %1: region_id and price are required.","Row %1: region_id and price are required."
"Row %1: Invalid region_id.","Row %1: Invalid region_id."
"Row %1: Price must be >= 0.","Row %1: Price must be >= 0."
"Row %1: Disabled regions cannot be used.","Row %1: Disabled regions cannot be used."
"Row %1: Region does not exist.","Row %1: Region does not exist."
"Duplicate region assignment for the same product.","Duplicate region assignment for the same product."
"Unable to save regional prices: %1","Unable to save regional prices: %1"
